"title","seq","qid","qurl","qlabel","qcountry","qdescr"
"Carta del Lavoro","0","Q2735128","http://www.wikidata.org/entity/Q2735128","Labour Charter of 1927","Q38",""
"Carta del Lavoro","1","Q122123506","http://www.wikidata.org/entity/Q122123506","Carta del lavoro: korporativní systém fašistické Itálie: reprint diplomové práce z roku 1975 s aktuální předmluvou od Ladislava Bátory","","book edition published in 2022"
"Carta do Atlântico","0","Q181978","http://www.wikidata.org/entity/Q181978","Atlantic Charter","","1941 Anglo-American policy statement defining the Allied goals for the post-war world"
"Carta do Parnaíba","","","","","",""
"Carta do Rio de Janeiro","","","","","",""
"Carta Econômica de Teresópolis","","","","","",""
"Carta Magna","0","Q1431297","http://www.wikidata.org/entity/Q1431297","Umbanda","","Brazilian syncretic religion"
"Carta Magna","1","Q1173986","http://www.wikidata.org/entity/Q1173986","Carta magna","","Wikimedia disambiguation page"
"Carta Magna","2","Q12519","http://www.wikidata.org/entity/Q12519","Magna Carta","Q179876","charter of rights agreed between King John of England and the nobility in 1215"
"Carta Magna do Brasil","","","","","",""
"Cartão-Alimentação","","","","","",""
"CENDEC","","","","","",""
"CEPAL","0","Q411159","http://www.wikidata.org/entity/Q411159","famotidine","","chemical compound"
"CEPAL","1","Q32874","http://www.wikidata.org/entity/Q32874","United Nations Economic Commission for Latin America and the Caribbean","","United Nations Commission for economic cooperation among its member states"
"CEPAL","2","Q12478519","http://www.wikidata.org/entity/Q12478519","Cepala","Q252","village in Sambas Regency, West Kalimantan, Indonesia"
"Cesta do Povo","0","Q18462159","http://www.wikidata.org/entity/Q18462159","Cesta do Povo","Q155",""
"Código Aduaneiro do Mercado Comum do Sul","","","","","",""
"Código Aduaneiro do Mercosul","","","","","",""
"Código Ambiental Brasileiro","","","","","",""
"Código Ambiental da cidade de Salvador","","","","","",""
"Código Brasileiro de Aeronáutica","","","","","",""
"Código Brasileiro de Combustíveis","","","","","",""
"Código Brasileiro de Comunicações","","","","","",""
"Código Brasileiro de Propriedade Industrial","","","","","",""
"Código Brasileiro de Radiodifusão","","","","","",""
"Código Brasileiro de Telecomunicações","0","Q20059797","http://www.wikidata.org/entity/Q20059797","Código Brasileiro de Telecomunicações","Q155",""
"Código Brasileiro de Trânsito","0","Q10263241","http://www.wikidata.org/entity/Q10263241","Código de Trânsito Brasileiro","Q155",""
"Código Brasileiro do Ar","","","","","",""
"Código Canônico","0","Q188462","http://www.wikidata.org/entity/Q188462","canon law","","ordinances and regulations made by Church leadership for the government of a Christian organization or church and its members"
"Código Canônico","1","Q4885542","http://www.wikidata.org/entity/Q4885542","Canonical Huffman code","","particular type of Huffman code with unique properties which allow it to be described in a very compact manner"
"Código Civil","0","Q1923776","http://www.wikidata.org/entity/Q1923776","civil code","","private law relating to property, family, and obligations"
"Código Civil","1","Q151060","http://www.wikidata.org/entity/Q151060","Napoleonic Code","","civil code of 1804"
"Código Civil","2","Q165728","http://www.wikidata.org/entity/Q165728","Bürgerliches Gesetzbuch","","civil code of Germany"
"Código Civil Brasileiro","0","Q2981450","http://www.wikidata.org/entity/Q2981450","Brazilian Civil Code","Q155","the official systematic grouping of Brasilian civil rules"
"Código Civil Brasileiro","1","Q55663950","http://www.wikidata.org/entity/Q55663950","Brazilian Civil Code of 1916","Q155","Law n°. 3.071 of January  1 of 1916, establishing the Civil Code"
"Código Civil de Aviação","","","","","",""
"Código Comercial","0","Q906196","http://www.wikidata.org/entity/Q906196","Uniform Commercial Code","","American law on commercial transactions"
"Código Comercial","1","Q2981558","http://www.wikidata.org/entity/Q2981558","Commercial Code of Macau","",""
