"Democratas (DEM)","11671","https://github.com/cpdoc/dhbb/blob/master/text/11671.text","2","Q1090630","http://www.wikidata.org/entity/Q1090630","Democrats","Q223","political party in Greenland"
"Agência Espacial Brasileira (AEB)","11677","https://github.com/cpdoc/dhbb/blob/master/text/11677.text","0","Q853604","http://www.wikidata.org/entity/Q853604","Brazilian Space Agency","Q155","space agency"
"ELETROBRAS TERMONUCLEAR S.A. (ELETRONUCLEAR)","11719","https://github.com/cpdoc/dhbb/blob/master/text/11719.text","0","Q4119019","http://www.wikidata.org/entity/Q4119019","Eletronuclear","Q155",""
"PARTIDO PÁTRIA LIVRE (PPL)","11797","https://github.com/cpdoc/dhbb/blob/master/text/11797.text","0","Q5499876","http://www.wikidata.org/entity/Q5499876","Free Fatherland Party","Q155","Brazilian political party"
"PARTIDO PÁTRIA LIVRE (PPL)","11797","https://github.com/cpdoc/dhbb/blob/master/text/11797.text","1","Q7140545","http://www.wikidata.org/entity/Q7140545","Free Fatherland Party - Paraguay","Q733","political party in Paraguay"
"CONFEDERAÇÃO DOS TRABALHADORES EM TRANSPORTE AQUAVIÁRIO E AÉREO NA PESCA E NOS PORTOS (CONTTMAF)","11866","https://github.com/cpdoc/dhbb/blob/master/text/11866.text","","","","","",""
"AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR (ANS)","11875","https://github.com/cpdoc/dhbb/blob/master/text/11875.text","0","Q9592631","http://www.wikidata.org/entity/Q9592631","National Supplementary Health Agency","Q155","Brazilian regulatory agency"
"COMISSÃO DE JUSTIÇA E PAZ","11881","https://github.com/cpdoc/dhbb/blob/master/text/11881.text","","","","","",""
"NUCLEBRÁS","11888","https://github.com/cpdoc/dhbb/blob/master/text/11888.text","0","Q10338114","http://www.wikidata.org/entity/Q10338114","Empresas Nucleares Brasileiras","Q155",""
"NUCLEBRÁS","11888","https://github.com/cpdoc/dhbb/blob/master/text/11888.text","1","Q6955573","http://www.wikidata.org/entity/Q6955573","NUCLEP","Q155","Brazilian nuclear company"
"AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA (ANEEL)","11892","https://github.com/cpdoc/dhbb/blob/master/text/11892.text","0","Q4095715","http://www.wikidata.org/entity/Q4095715","Brazilian Electricity Regulatory Agency","Q155",""
"PARTIDO DA MULHER BRASILEIRA (PMB)","11931","https://github.com/cpdoc/dhbb/blob/master/text/11931.text","0","Q24478299","http://www.wikidata.org/entity/Q24478299","Party of the Brazilian Woman","Q155","Brazilian political party"
"REDE SUSTENTABILIDADE","11932","https://github.com/cpdoc/dhbb/blob/master/text/11932.text","0","Q10358279","http://www.wikidata.org/entity/Q10358279","Sustainability Network","Q155","political Party"
"REDE SUSTENTABILIDADE","11932","https://github.com/cpdoc/dhbb/blob/master/text/11932.text","1","Q19767211","http://www.wikidata.org/entity/Q19767211","Rede Sustentabilidade diz ter assinaturas suficientes para registro no TSE","","Wikinews article"
"SOLIDARIEDADE","11943","https://github.com/cpdoc/dhbb/blob/master/text/11943.text","0","Q4349891","http://www.wikidata.org/entity/Q4349891","European Solidarity","Q212","political party in Ukraine"
"SOLIDARIEDADE","11943","https://github.com/cpdoc/dhbb/blob/master/text/11943.text","1","Q815726","http://www.wikidata.org/entity/Q815726","solidarity","","unity of feeling or action on a common interest"
"SOLIDARIEDADE","11943","https://github.com/cpdoc/dhbb/blob/master/text/11943.text","2","Q20061311","http://www.wikidata.org/entity/Q20061311","Solidarity (Brazil)","Q155","Brazilian political party"
"ABUSO DO PODER ECONÔMICO (legislação)","5702","https://github.com/cpdoc/dhbb/blob/master/text/5702.text","","","","","",""
"AÇÃO CÍVICA NACIONAL","5703","https://github.com/cpdoc/dhbb/blob/master/text/5703.text","","","","","",""
"AÇÃO DEMOCRÁTICA PARLAMENTAR (ADP)","5704","https://github.com/cpdoc/dhbb/blob/master/text/5704.text","","","","","",""
"AÇÃO DEMOCRÁTICA POPULAR (Adep)","5705","https://github.com/cpdoc/dhbb/blob/master/text/5705.text","","","","","",""
"AÇÃO DEMOCRÁTICA","5706","https://github.com/cpdoc/dhbb/blob/master/text/5706.text","0","Q339183","http://www.wikidata.org/entity/Q339183","Democratic Action","Q717","Venezuelan political party"
"AÇÃO DEMOCRÁTICA","5706","https://github.com/cpdoc/dhbb/blob/master/text/5706.text","1","Q2823680","http://www.wikidata.org/entity/Q2823680","Nationalist Democratic Action","Q750","Bolivian political party"
"AÇÃO DEMOCRÁTICA","5706","https://github.com/cpdoc/dhbb/blob/master/text/5706.text","2","Q120971997","http://www.wikidata.org/entity/Q120971997","National Democratic Action","Q736","alliance of political parties for 2023 Ecuadorian election"
"AÇÃO IMPERIAL PATRIONOVISTA","5707","https://github.com/cpdoc/dhbb/blob/master/text/5707.text","","","","","",""
"AÇÃO LIBERTADORA NACIONAL (ALN)","5708","https://github.com/cpdoc/dhbb/blob/master/text/5708.text","0","Q2631813","http://www.wikidata.org/entity/Q2631813","National Liberation Action","Q155","Communist guerrilla movement during the Brazilian military dictatorship from 1967-1974."
"AÇÃO LIBERTADORA","5709","https://github.com/cpdoc/dhbb/blob/master/text/5709.text","0","Q2631813","http://www.wikidata.org/entity/Q2631813","National Liberation Action","Q155","Communist guerrilla movement during the Brazilian military dictatorship from 1967-1974."
"AÇÃO MONARQUISTA BRASILEIRA","5710","https://github.com/cpdoc/dhbb/blob/master/text/5710.text","","","","","",""
"AÇÃO POPULAR (AP)","5711","https://github.com/cpdoc/dhbb/blob/master/text/5711.text","0","Q451584","http://www.wikidata.org/entity/Q451584","actio popularis","","action in Roman penal law brought by a member of the public in the interest of public order"
"AÇÃO POPULAR (AP)","5711","https://github.com/cpdoc/dhbb/blob/master/text/5711.text","1","Q16484839","http://www.wikidata.org/entity/Q16484839","Ação Popular","Q155","Brazilian political organization"
"AÇÃO POPULAR (AP)","5711","https://github.com/cpdoc/dhbb/blob/master/text/5711.text","2","Q66738265","http://www.wikidata.org/entity/Q66738265","Acao Popular","Q155","Brazilian political coalition in Sinop, Mato Grosso"
"AÇÃO POPULAR RENOVADORA","5712","https://github.com/cpdoc/dhbb/blob/master/text/5712.text","","","","","",""
"AÇÃO SOCIAL BRASILEIRA (ASB)","5713","https://github.com/cpdoc/dhbb/blob/master/text/5713.text","0","Q2823702","http://www.wikidata.org/entity/Q2823702","Ação Social Brasileira","Q155",""
"AÇÃO SOCIAL NACIONALISTA","5714","https://github.com/cpdoc/dhbb/blob/master/text/5714.text","","","","","",""
"AÇÃO SOCIAL POLÍTICA PROLETÁRIA DA BAHIA","5715","https://github.com/cpdoc/dhbb/blob/master/text/5715.text","","","","","",""
