lemma,poscode,surface
ministro (secretaria especial de política para mulheres),3,"min. sec. esp. polit. mulheres,ministro (secretaria especial de política para mulheres)"
ministro (secretaria geral da presidência da república),3,"min. secr. ger. pres. rep.,min. ch. secr. pres. rep.,min. secret.-ger. pres. rep.,ministro (secretaria geral da presidência da república)"
ministro (secretaria nacional de segurança pública),3,"min. secr. nac. seg. pub.,ministro (secretaria nacional de segurança pública)"
ministro (secretaria da micro e pequena empresa),3,"min. secretaria da micro e pequena empresa,ministro (secretaria da micro e pequena empresa)"
ministro (secretaria de comunicação da presidência da república),3,"min. -ch. com. soc. pres. rep,min.-ch. comunic. soc. pres. rep.,min. -ch. secr. comunic. soc. pres. rep.,min. secret. comunic.,ministro (secretaria de comunicação da presidência da república)"
ministro (secretaria de desenvolvimento urbano),3,"min. secret. des. urbano,ministro (secretaria de desenvolvimento urbano)"
ministro (secretaria de políticas regionais),3,"min. secret. pol. region.,ministro (secretaria de políticas regionais)"
ministro (segurança alimentar e combate à fome),3,"min. extr. seg. alim.,ministro (segurança alimentar e combate à fome)"
ministro (superior tribunal de justiça),3,"min. stj,ministro (superior tribunal de justiça)"
ministro (supremo tribunal federal),3,"ministro do supremo tribunal federal,min. stf,ministro (supremo tribunal federal)"
ministro (supremo tribunal militar),3,"min. stm,ministro do supremo tribunal militar,ministro (supremo tribunal militar)"
ministro (trabalho),3,"min. trab.,ministro do trabalho,ministro (trabalho)"
ministro (transportes),3,"min. transp.,ministro dos transportes,ministro (transportes)"
ministro (tribunal superior eleitoral),3,"min. tse,ministro (tribunal superior eleitoral)"
ministro (tribunal de contas),3,"min. tcu,ministro do tribunal de contas,ministro (tribunal de contas)"
ministro (turismo),3,"min. turis.,min. turismo,ministro (turismo)"
ministro (viação e obras públicas),3,"ministro da viação e obras públicas,min. viação,ministro (viação e obras públicas)"
médico,3,"médico,médico"
participante de episódio (atentado da rua toneleros),3,"participante do atentado da rua toneleros,atent. toneleros,participante de episódio (atentado da rua toneleros)"
participante de movimento (abolicionista),3,"mov. abolicionista,participante de movimento (abolicionista)"
participante de movimento (anarquista),3,"mov. anarquista,participante de movimento (anarquista)"
participante de movimento (católico),3,"mov. católico,participante de movimento (católico)"
participante de movimento (coluna prestes),3,"participante da coluna prestes,col. prestes,participante de movimento (coluna prestes)"
participante de movimento (comunista),3,"mov. comunista,movimento comunista,participante de movimento (comunista)"
participante de movimento (feminista),3,"mov. feminista,participante de movimento (feminista)"
participante de movimento (integralista),3,"movimento integralista,mov. integralista,participante de movimento (integralista)"
participante de movimento (operário),3,"mov. operário,participante de movimento (operário)"
participante de movimento (republicano),3,"mov. republicano,participante de movimento (republicano)"
participante de movimento (socialista),3,"mov. socialista,participante de movimento (socialista)"
participante de movimento (tenentista),3,"mov. tenentista,participante de movimento (tenentista)"
participante de revolta/revolução,3,"revolucionário ou revoltoso,rev.,participante de revolta/revolução"
participante de revolta/revolução (aragarças),3,"rev. aragarças,participante de revolta/revolução (aragarças)"
participante de revolta/revolução (contestado),3,"contestado,participante de revolta/revolução (contestado)"
participante de revolta/revolução (jacareacanga),3,"rev. jacareacanga,participante de revolta/revolução (jacareacanga)"
prefeito,3,"pref.,prefeito"
presidente da república,3,"presidente da república,pres. rep."
presidente de entidade,3,"pres.,presidente de associação ou confederação de empregados ou empregadores,presidente de entidade"
presidente de entidade (banco central),3,"presidente do banco central,pres. bco central,pres. banco central,presidente de entidade (banco central)"
presidente de entidade (banco nacional da habitação),3,"pres. bnh,presidente do banco nacional da habitação,presidente de entidade (banco nacional da habitação)"
presidente de entidade (banco nacional do desenvolvimento econômico e social),3,"presidente do banco nacional do desenvolvimento econômico (e social),pres. bnde(s),presidente de entidade (banco nacional do desenvolvimento econômico e social)"
presidente de entidade (banco do brasil),3,"pres. bco bras.,presidente do banco do brasil,presidente de entidade (banco do brasil)"
presidente de entidade (centro das indústrias do estado de são paulo),3,"presidente do centro das indústrias do estado de são paulo,pres. ciesp,presidente de entidade (centro das indústrias do estado de são paulo)"
presidente de entidade (confederação nacional dos bispos do brasil),3,"presidente da confederação nacional dos bispos do brasil,pres. cnbb,presidente de entidade (confederação nacional dos bispos do brasil)"
presidente de entidade (federação das indústrias do estado de são paulo),3,"pres. fiesp,presidente da federação das indústrias do estado de são paulo,presidente de entidade (federação das indústrias do estado de são paulo)"
presidente de entidade (instituto brasileiro do café),3,"presidente do instituto brasileiro do café,pres. ibc,presidente de entidade (instituto brasileiro do café)"
presidente de entidade (instituto nacional de previdência social),3,"pres. inps,presidente do instituto nacional de previdência social,presidente de entidade (instituto nacional de previdência social)"
presidente de entidade (instituto de aposentadoria e pensões dos comerciários),3,"pres. iapc,presidente de entidade (instituto de aposentadoria e pensões dos comerciários)"
presidente de entidade (petrobras),3,"pres. petrobrás,presidente da petrobrás,presidente de entidade (petrobras)"
presidente de entidade (união nacional dos estudantes),3,"presidente da união nacional dos estudantes,pres. une,presidente de entidade (união nacional dos estudantes)"
procurador-geral da república,3,"proc.-ger. rep.,procurador-geral da república,proc.-geral rep."
radialista,3,"radialista,radialista"
reitor,3,"reitor,reitor"
religioso,3,"religioso,religioso"
representante de classe,3,"repr.,representante de classe"
sanitarista,3,"sanitarista,sanitarista"
secretário de administração federal,3,"sec. adm. fed.,secretário de administração federal"
secretário de agricultura e pesca,3,"secr.-esp. agricultura e pesca,secretário de agricultura e pesca"
secretário de assuntos estratégicos,3,"sec.  ass. estratég.,secr. assuntos estratégicos,secretário de assuntos estratégicos"
secretário de ciência e tecnologia,3,"secr. ciênc. tecnol.,sec. ciência e tecnologia,secretário de ciência e tecnologia"
secretário de comunicação,3,"secret. nac. comun.,secretário de comunicação"
secretário de comunicação social da presidência da república,3,"secr. comunic. pres. rep.,secretário de comunicação social da presidência da república"
secretário de coordenação política e assuntos institucionais,3,"secr. coord. pol.,secretário de coordenação política e assuntos institucionais"
secretário de cultura,3,"sec. cultura,secretário de cultura"
secretário de desportos,3,"sec. nac. desportos,secretário de desportos"
secretário de direitos humanos,3,"secr. nac. dir. hum.,secretário de direitos humanos"
"secretário de estado da agricultura, comércio e obras públicas",3,"secr. agric., com. e obras públicas,secr. agric. com. e obras públicas,secretário de estado da agricultura, comércio e obras públicas"
secretário de imprensa e divulgação da presidência da república,3,"secr. impr. e divulg. pres. rep.,secretário de imprensa e divulgação da presidência da república"
secretário de meio ambiente,3,"sec. nac. meio ambiente,secretário de meio ambiente"
secretário de planejamento,3,"secr. planej. longo pr.,secretário de planejamento"
secretário de políticas de promoção da igualdade racial,3,"secr. polít. prom. igualdade racial,secret. esp. pol. prom. igualdade racial,secretário de políticas de promoção da igualdade racial"
secretário de políticas para as mulheres,3,"sec. nac. pol. mulheres,secretário de políticas para as mulheres"
secretário de relações institucionais,3,"secr. rel. inst.,secretário de relações institucionais"
secretário do conselho técnico de economia e finanças,3,"secr. cons. téc. econ. fin.,secretário do conselho técnico de economia e finanças"
secretário do conselho de desenvolvimento econômico e social,3,"secret. especial cons. desenvol. econ. soc.,secretário do conselho de desenvolvimento econômico e social"
secretário-geral da conferência nacional dos bispos do brasil,3,"secretário-geral da conferência nacional dos bispos do brasil,secretário-geral cnbb,secr.-ger. cnbb"
secretário-geral da presidência da república,3,"secretário-geral da presidência da república,secr. ger. pres. rep.,secr.-ger. pres. rep.,secr. pres. rep.,secr.-ger."
senador,3,"senador,sen."
sindicalista,3,"sind.,sindicalista"
superintendente da sudene,3,"superint. sudene,superintendente da sudene"
superintendente da sumoc,3,"superint. sumoc,superintendente da sumoc"
vice-governador,3,"vice-gov.,vice-governador"
vice-presidente da república,3,"vice-pres. rep.,vice-presidente da república"
advogado,3,advogado
advogado geral da união,3,advogado geral da união
