lemma,poscode,surface
Lucilo Haddock Lobo,3,Lucilo Haddock Lobo
Lucindo Andreola,3,Lucindo Andreola
Lucio Goncalo de Alcantara,3,Lucio Goncalo de Alcantara
Lucio Martins Meira,3,Lucio Martins Meira
Lucio Moreira,3,Lucio Moreira
Lucio Ramos,3,Lucio Ramos
Lucy Barnard Briggs,3,Lucy Barnard Briggs
Lucy Geisel,3,Lucy Geisel
Lucy Montoro,3,Lucy Montoro
Lucélia Santos,3,Lucélia Santos
Lucídio Portella Nunes,3,Lucídio Portella Nunes
Lucília Neves,3,Lucília Neves
Luigina Magnani,3,Luigina Magnani
Luis Alberto Ferreira Bahia,3,Luis Alberto Ferreira Bahia
Luis Alberto Lacalle,3,Luis Alberto Lacalle
Luis Alberto Maguito Vilela,3,Luis Alberto Maguito Vilela
Luis Alberto Soyer,3,Luis Alberto Soyer
Luis Alberto Vidal Pontes,3,Luis Alberto Vidal Pontes
Luis Antonio Cechinel,3,Luis Antonio Cechinel
Luis Antonio da Gama E Silva,3,Luis Antonio da Gama E Silva
Luis Antonio de Camargo Fayet,3,Luis Antonio de Camargo Fayet
Luis Augusto Pereira Souto Maior,3,Luis Augusto Pereira Souto Maior
Luis Augusto Saint-brisson de Araujo Castro,3,Luis Augusto Saint-brisson de Araujo Castro
Luis Augusto de Barros E Vasconcelos,3,Luis Augusto de Barros E Vasconcelos
Luis Barbosa Alves,3,Luis Barbosa Alves
Luis Barbosa da Gama Cerqueira,3,Luis Barbosa da Gama Cerqueira
Luis Basone,3,Luis Basone
Luis Bassuma,3,Luis Bassuma
Luis Benedito Maximo,3,Luis Benedito Maximo
Luis Bittencourt,3,Luis Bittencourt
Luis Caetano Pereira Guimaraes Filho,3,Luis Caetano Pereira Guimaraes Filho
Luis Candido Durao,3,Luis Candido Durao
Luis Carlos Bresser Goncalves Pereira,3,Luis Carlos Bresser Goncalves Pereira
Luis Carlos Busato,3,Luis Carlos Busato
Luis Carlos Guedes Pinto,3,Luis Carlos Guedes Pinto
Luis Carlos Heinze,3,Luis Carlos Heinze
Luis Carlos Jorge Hauly,3,Luis Carlos Jorge Hauly
Luis Carlos Leal Braga,3,Luis Carlos Leal Braga
Luis Carlos Pereira Tourinho,3,Luis Carlos Pereira Tourinho
Luis Carlos Setim,3,Luis Carlos Setim
Luis Carlos Sigmaringa Seixas,3,Luis Carlos Sigmaringa Seixas
Luis Carlos Vitor Pujol,3,Luis Carlos Vitor Pujol
Luis Dantas Lima,3,Luis Dantas Lima
Luis Dias Lins,3,Luis Dias Lins
Luis Eduardo Maron de Magalhaes,3,Luis Eduardo Maron de Magalhaes
Luis Eduardo Rodrigues Greenhalgh,3,Luis Eduardo Rodrigues Greenhalgh
Luis Eulalio de Bueno Vidigal Filho,3,Luis Eulalio de Bueno Vidigal Filho
Luis Felipe Palmeira Lampreia,3,Luis Felipe Palmeira Lampreia
Luis Felipe de Oliveira Pena,3,Luis Felipe de Oliveira Pena
Luis Fernandes Vergara,3,Luis Fernandes Vergara
Luis Fernando Cirme Lima,3,Luis Fernando Cirme Lima
Luis Fernando Faria de Azevedo,3,Luis Fernando Faria de Azevedo
Luis Fernando Luz Braga,3,Luis Fernando Luz Braga
Luis Fernando Mainardi,3,Luis Fernando Mainardi
Luis Fernando Ribas Carli,3,Luis Fernando Ribas Carli
Luis Fernando Sarmento Nicolau,3,Luis Fernando Sarmento Nicolau
Luis Fernando de Oliveira Freire,3,Luis Fernando de Oliveira Freire
Luis Filipe Maigre de Oliveira Ferreira da Gama,3,Luis Filipe Maigre de Oliveira Ferreira da Gama
Luis Filipe da Luz,3,Luis Filipe da Luz
Luis Geolas de Moura Carvalho,3,Luis Geolas de Moura Carvalho
Luis Gonzaga Barros Coelho,3,Luis Gonzaga Barros Coelho
Luis Gonzaga Jr.,3,Luis Gonzaga Jr.
Luis Gonzaga Nogueira Marques,3,Luis Gonzaga Nogueira Marques
Luis Gonzaga Patriota,3,Luis Gonzaga Patriota
Luis Gonzaga Prado Ferreira da Gama Filho,3,Luis Gonzaga Prado Ferreira da Gama Filho
Luis Gonzaga Soares Leal,3,Luis Gonzaga Soares Leal
Luis Gonzaga de Paiva Muniz,3,Luis Gonzaga de Paiva Muniz
Luis Gottheil,3,Luis Gottheil
Luis Herrera Campins,3,Luis Herrera Campins
Luis Humberto Prisco Viana,3,Luis Humberto Prisco Viana
Luis Inacio Romeiro de Anhaia Melo,3,Luis Inacio Romeiro de Anhaia Melo
Luis Inacio da Silva,3,Luis Inacio da Silva
Luis Lago de Araujo,3,Luis Lago de Araujo
Luis Leivas Bastian Pinto,3,Luis Leivas Bastian Pinto
Luis Lindberg Farias Filho,3,Luis Lindberg Farias Filho
Luis Losso,3,Luis Losso
Luis Magalhaes da Silveira,3,Luis Magalhaes da Silveira
Luis Maria Ramirez Boettner,3,Luis Maria Ramirez Boettner
Luis Martins E Silva,3,Luis Martins E Silva
Luis Martins de Sousa Dantas,3,Luis Martins de Sousa Dantas
Luis Milton Prates,3,Luis Milton Prates
Luis Moreira Neves,3,Luis Moreira Neves
Luis Moreira da Silva,3,Luis Moreira da Silva
Luis Otavio Carvalho da Mota Veiga,3,Luis Otavio Carvalho da Mota Veiga
Luis Otavio Pires E Albuquerque Gallotti,3,Luis Otavio Pires E Albuquerque Gallotti
Luis Otavio Ziza Mota Valadares,3,Luis Otavio Ziza Mota Valadares
Luis Paulo Ataide,3,Luis Paulo Ataide
Luis Pereira da Silva,3,Luis Pereira da Silva
Luis Piauilino de Melo Monteiro,3,Luis Piauilino de Melo Monteiro
Luis Portela Carvalho,3,Luis Portela Carvalho
Luis Prata Girao,3,Luis Prata Girao
Luis Regis Pacheco Pereira,3,Luis Regis Pacheco Pereira
Luis Roberto Andrade Ponte,3,Luis Roberto Andrade Ponte
Luis Roberto Veiga de Brito,3,Luis Roberto Veiga de Brito
Luis Rodolfo de Sa Miranda,3,Luis Rodolfo de Sa Miranda
Luis Sampaio,3,Luis Sampaio
Luis Sande de Oliveira,3,Luis Sande de Oliveira
Luis Tavares Alves Pereira,3,Luis Tavares Alves Pereira
Luis Tavares da Cunha Melo,3,Luis Tavares da Cunha Melo
Luis Tinoco da Fonseca,3,Luis Tinoco da Fonseca
Luis Vicente Belford Ouro Preto,3,Luis Vicente Belford Ouro Preto
Luis da Costa Araujo Bronzeado,3,Luis da Costa Araujo Bronzeado
Luis de Alencar Araripe,3,Luis de Alencar Araripe
Luis de Araujo Bras,3,Luis de Araujo Bras
Luis de Barros Freire Neto,3,Luis de Barros Freire Neto
Luis de Freitas Vale Aranha,3,Luis de Freitas Vale Aranha
Luis de Gonzaga Fonseca Mota,3,Luis de Gonzaga Fonseca Mota
Luis de Magalhaes Melo,3,Luis de Magalhaes Melo
Luis de Meneses Medeiros Neto,3,Luis de Meneses Medeiros Neto
Luis de Paula Ferreira,3,Luis de Paula Ferreira
Luis de Sousa Cavalcanti,3,Luis de Sousa Cavalcanti
Luisa Erundina de Sousa,3,Luisa Erundina de Sousa
Luisa Maria Marques,3,Luisa Maria Marques
Luiz Abner de Sousa Moreira,3,Luiz Abner de Sousa Moreira
Luiz Adolfo Albuquerque Filho,3,Luiz Adolfo Albuquerque Filho
Luiz Adriano,3,Luiz Adriano
Luiz Alberto Moniz Bandeira,3,Luiz Alberto Moniz Bandeira
Luiz Almeida Júnior,3,Luiz Almeida Júnior
Luiz Anthero Soares Barbosa,3,Luiz Anthero Soares Barbosa
Luiz Antônio Junqueira,3,Luiz Antônio Junqueira
Luiz Antônio Simões Lopes,3,Luiz Antônio Simões Lopes
Luiz Antônio da Gama Lima,3,Luiz Antônio da Gama Lima
Luiz Antônio da Gama Silva,3,Luiz Antônio da Gama Silva
Luiz Argana,3,Luiz Argana
Luiz B. Wolf,3,Luiz B. Wolf
Luiz Baeta Neves,3,Luiz Baeta Neves
Luiz Barbedo,3,Luiz Barbedo
Luiz Bolchini,3,Luiz Bolchini
Luiz Braga Mury,3,Luiz Braga Mury
Luiz Candeias,3,Luiz Candeias
Luiz Carlo de Pavilho,3,Luiz Carlo de Pavilho
Luiz Carlos Delben Leite,3,Luiz Carlos Delben Leite
Luiz Carlos Devlin,3,Luiz Carlos Devlin
Luiz Carlos de Mattos,3,Luiz Carlos de Mattos
Luiz Cláudio de Almeida Magalhães,3,Luiz Cláudio de Almeida Magalhães
Luiz Correa da Rocha,3,Luiz Correa da Rocha
Luiz Correia,3,Luiz Correia
Luiz Corrêa Barbosa,3,Luiz Corrêa Barbosa
Luiz Del Nero Netto,3,Luiz Del Nero Netto
Luiz Delmont,3,Luiz Delmont
Luiz Dias,3,Luiz Dias
Luiz Dumont Villares,3,Luiz Dumont Villares
Luiz E. R. Lassance,3,Luiz E. R. Lassance
Luiz Edmundo Paes,3,Luiz Edmundo Paes
Luiz Eduardo Simões Lopes,3,Luiz Eduardo Simões Lopes
Luiz Eduardo Soares,3,Luiz Eduardo Soares
Luiz Emygdio Mello Filho,3,Luiz Emygdio Mello Filho
Luiz Engrácia de Oliveira,3,Luiz Engrácia de Oliveira
Luiz Estevão de Oliveira Neto,3,Luiz Estevão de Oliveira Neto
Luiz Eugênio Salazar,3,Luiz Eugênio Salazar
Luiz Felipe Lampreia,3,Luiz Felipe Lampreia
Luiz Felipe Pinto da Luz,3,Luiz Felipe Pinto da Luz
Luiz Felipe Seixas Corrêa,3,Luiz Felipe Seixas Corrêa
Luiz Felipe Teixeira Soares,3,Luiz Felipe Teixeira Soares
Luiz Felipe de Albuquerque Junior,3,Luiz Felipe de Albuquerque Junior
Luiz Felipe de Azevedo,3,Luiz Felipe de Azevedo
Luiz Fernando Freire,3,Luiz Fernando Freire
Luiz Fernando da Silva Pinto,3,Luiz Fernando da Silva Pinto
Luiz França de Albuquerque,3,Luiz França de Albuquerque
Luiz Garcia,3,Luiz Garcia
Luiz Gonzaga Do Nascimento E Silva,3,Luiz Gonzaga Do Nascimento E Silva
Luiz Grobbi,3,Luiz Grobbi
Luiz Guimarães Júnior,3,Luiz Guimarães Júnior
Luiz Gushiken,3,Luiz Gushiken
Luiz Henrique da Silveira,3,Luiz Henrique da Silveira
Luiz Ildefonso Simões Lopes,3,Luiz Ildefonso Simões Lopes
Luiz Inácio Lula da Silva | Lula da Silva | Lula,3,Luiz Inácio Lula da Silva | Lula da Silva | Lula
Luiz J. de Andrade Junqueira,3,Luiz J. de Andrade Junqueira
Luiz Jorge Werneck Vianna,3,Luiz Jorge Werneck Vianna
Luiz José Sarmento,3,Luiz José Sarmento
Luiz José de Sampaio Júnior,3,Luiz José de Sampaio Júnior
Luiz Jurema,3,Luiz Jurema
Luiz Lacerda Biagi,3,Luiz Lacerda Biagi
Luiz Leal Neto Reis,3,Luiz Leal Neto Reis
Luiz Leon,3,Luiz Leon
Luiz Maffini,3,Luiz Maffini
Luiz Marcelo Moreira de Azevedo,3,Luiz Marcelo Moreira de Azevedo
Luiz Marianno de Barros Fournier,3,Luiz Marianno de Barros Fournier
Luiz Mendes de Moraes Neto,3,Luiz Mendes de Moraes Neto
Luiz Moreira,3,Luiz Moreira
Luiz Moretzohn Barbosa,3,Luiz Moretzohn Barbosa
Luiz Nogueira Porto,3,Luiz Nogueira Porto
Luiz Paulo Conde,3,Luiz Paulo Conde
Luiz Paulo Macedo Carvalho,3,Luiz Paulo Macedo Carvalho
Luiz Piauylino,3,Luiz Piauylino
Luiz Pinto,3,Luiz Pinto
Luiz Queiroz,3,Luiz Queiroz
Luiz Rafael Mayer,3,Luiz Rafael Mayer
Luiz Renault Apocalipse,3,Luiz Renault Apocalipse
Luiz Ricceri,3,Luiz Ricceri
Luiz Rocha Neto,3,Luiz Rocha Neto
Luiz Rodrigues Filho,3,Luiz Rodrigues Filho
Luiz Rogério Leite,3,Luiz Rogério Leite
Luiz Sconteganha,3,Luiz Sconteganha
Luiz Sergio Gama Figueira,3,Luiz Sergio Gama Figueira
Luiz Simões Lopes,3,Luiz Simões Lopes
Luiz Soares,3,Luiz Soares
Luiz Souza Lima,3,Luiz Souza Lima
Luiz Tadeu Leite,3,Luiz Tadeu Leite
Luiz Velho,3,Luiz Velho
Luiz Vespasiano Corrêa,3,Luiz Vespasiano Corrêa
Luiz Viana Filho,3,Luiz Viana Filho
Luiz Viana,3,Luiz Viana
Luiz Vieira,3,Luiz Vieira
