lemma,poscode,surface
Amparo do São Francisco,3,Amparo do São Francisco
Amparo do Serra,3,Amparo do Serra
Padre Felisberto,3,Padre Felisberto
Ampére,3,Ampére
São Pedro,3,São Pedro
São Salvador,3,São Salvador
Anadia,3,Anadia
Anagé,3,Anagé
Coquinhos,3,Coquinhos
Anahy,3,Anahy
Anajás,3,Anajás
Anajatuba,3,Anajatuba
Porto das Gabarras,3,Porto das Gabarras
Analândia,3,Analândia
Anamã,3,Anamã
Ananás,3,Ananás
Ananindeua,3,Ananindeua
Anápolis,3,Anápolis
Goialândia,3,Goialândia
Interlândia,3,Interlândia
Joanápolis,3,Joanápolis
Souzânia,3,Souzânia
Anapu,3,Anapu
Anapurus,3,Anapurus
Anastácio,3,Anastácio
Anaurilândia,3,Anaurilândia
Anchieta,3,Anchieta
Alto Pongal,3,Alto Pongal
Jabaquara,3,Jabaquara
Andaraí,3,Andaraí
Igatu,3,Igatu
Ubiraitá,3,Ubiraitá
Andirá,3,Andirá
Nossa Senhora Aparecida,3,Nossa Senhora Aparecida
Andorinha,3,Andorinha
Sítio da Baraúna,3,Sítio da Baraúna
Tanquinho do Poço,3,Tanquinho do Poço
Andradas,3,Andradas
Gramínea,3,Gramínea
Campestrinho,3,Campestrinho
Andradina,3,Andradina
André da Rocha,3,André da Rocha
Andrelândia,3,Andrelândia
Angatuba,3,Angatuba
Bom Retiro da Esperança,3,Bom Retiro da Esperança
Angelândia,3,Angelândia
Angélica,3,Angélica
Ipezal,3,Ipezal
Angelim,3,Angelim
Angelina,3,Angelina
Barra Clara,3,Barra Clara
Garcia,3,Garcia
Angical,3,Angical
Missão de Aricobé,3,Missão de Aricobé
Angical do Piauí,3,Angical do Piauí
Angico,3,Angico
Angicos,3,Angicos
Angra dos Reis,3,Angra dos Reis
Abraão,3,Abraão
Cunhambebe,3,Cunhambebe
Mambucaba,3,Mambucaba
Anguera,3,Anguera
Ângulo,3,Ângulo
Anhanguera,3,Anhanguera
Anhembi,3,Anhembi
Pirambóia,3,Pirambóia
Anhumas,3,Anhumas
Anicuns,3,Anicuns
Capelinha,3,Capelinha
Choupana,3,Choupana
Anísio de Abreu,3,Anísio de Abreu
Anita Garibaldi,3,Anita Garibaldi
Lagoa da Estiva,3,Lagoa da Estiva
Anitápolis,3,Anitápolis
Anori,3,Anori
Anta Gorda,3,Anta Gorda
Itapuca,3,Itapuca
Antas,3,Antas
Antonina,3,Antonina
Cacatu,3,Cacatu
Cachoeira de Cima,3,Cachoeira de Cima
Antonina do Norte,3,Antonina do Norte
Taboleiro,3,Taboleiro
Antônio Almeida,3,Antônio Almeida
Antônio Cardoso,3,Antônio Cardoso
Oleiro,3,Oleiro
Poço,3,Poço
Santo Estevão Velho,3,Santo Estevão Velho
Antônio Carlos,3,Antônio Carlos
Curral Novo de Minas,3,Curral Novo de Minas
Dr. Sá Fortes,3,Dr. Sá Fortes
São Sebastião de Campolide,3,São Sebastião de Campolide
Antônio Dias,3,Antônio Dias
Hematita,3,Hematita
Antônio Gonçalves,3,Antônio Gonçalves
Antônio João,3,Antônio João
Campestre,3,Campestre
Antônio Martins,3,Antônio Martins
Antônio Olinto,3,Antônio Olinto
Antônio Prado,3,Antônio Prado
Linha 21 de Abril,3,Linha 21 de Abril
Santana,3,Santana
Antônio Prado de Minas,3,Antônio Prado de Minas
Aparecida,3,Aparecida
Aparecida de Goiânia,3,Aparecida de Goiânia
Nova Brasília,3,Nova Brasília
Aparecida do Rio Doce,3,Aparecida do Rio Doce
Aparecida do Rio Negro,3,Aparecida do Rio Negro
Aparecida do Taboado,3,Aparecida do Taboado
Aparecida d'Oeste,3,Aparecida d'Oeste
Aperibé,3,Aperibé
Apiacá,3,Apiacá
Bonsucesso,3,Bonsucesso
José Carlos,3,José Carlos
Apiacás,3,Apiacás
Apiaí,3,Apiaí
Araçaíba,3,Araçaíba
Lageado de Araçaíba,3,Lageado de Araçaíba
Palmitalzinho,3,Palmitalzinho
Apicum-Açu,3,Apicum-Açu
Apiúna,3,Apiúna
Apodi,3,Apodi
Aporá,3,Aporá
Itamira,3,Itamira
Aporé,3,Aporé
Apuarema,3,Apuarema
Apucarana,3,Apucarana
Correia de Freitas,3,Correia de Freitas
Pirapó,3,Pirapó
Vila Reis,3,Vila Reis
Apuí,3,Apuí
Sucunduri,3,Sucunduri
Apuiarés,3,Apuiarés
Canafístula,3,Canafístula
Vila Soares,3,Vila Soares
Aquidabã,3,Aquidabã
Aquidauana,3,Aquidauana
Camisão,3,Camisão
Cipolândia,3,Cipolândia
Piraputanga,3,Piraputanga
Taunay,3,Taunay
Aquiraz,3,Aquiraz
Camará,3,Camará
Caponga da Bernarda,3,Caponga da Bernarda
Jacaúna,3,Jacaúna
João de Castro,3,João de Castro
Justiniano de Serpa,3,Justiniano de Serpa
Patacas,3,Patacas
Tapera,3,Tapera
Arabutã,3,Arabutã
Nova Estrela,3,Nova Estrela
Araçagi,3,Araçagi
Araçaí,3,Araçaí
Aracaju,3,Aracaju
Araçariguama,3,Araçariguama
Araçás,3,Araçás
Aracati,3,Aracati
Barreira dos Vianas,3,Barreira dos Vianas
Cabreiro,3,Cabreiro
Córrego dos Fernandes,3,Córrego dos Fernandes
Jirau,3,Jirau
Mata Fresca,3,Mata Fresca
Santa Tereza,3,Santa Tereza
Aracatu,3,Aracatu
Araçatuba,3,Araçatuba
Araci,3,Araci
Aracitaba,3,Aracitaba
Aracoiaba,3,Aracoiaba
Ideal,3,Ideal
Jaguarão,3,Jaguarão
Jenipapeiro,3,Jenipapeiro
Lagoa de São João,3,Lagoa de São João
Milton Belo,3,Milton Belo
Pedra Branca,3,Pedra Branca
Plácido Martins,3,Plácido Martins
Vazantes,3,Vazantes
Araçoiaba,3,Araçoiaba
Araçoiaba da Serra,3,Araçoiaba da Serra
Aracruz,3,Aracruz
Guaraná,3,Guaraná
Jacupemba,3,Jacupemba
Riacho,3,Riacho
Santa Cruz,3,Santa Cruz
Araçu,3,Araçu
Araçuaí,3,Araçuaí
Engenheiro Schnoor,3,Engenheiro Schnoor
Itira,3,Itira
Aragarças,3,Aragarças
Aragoiânia,3,Aragoiânia
Aragominas,3,Aragominas
Reunidas,3,Reunidas
Araguacema,3,Araguacema
Araguaçu,3,Araguaçu
Araguaiana,3,Araguaiana
Araguaína,3,Araguaína
Araguainha,3,Araguainha
Araguanã,3,Araguanã
Araguapaz,3,Araguapaz
Araguari,3,Araguari
Amanhece,3,Amanhece
Florestina,3,Florestina
Piracaíba,3,Piracaíba
Araguatins,3,Araguatins
Natal,3,Natal
Araioses,3,Araioses
Aral Moreira,3,Aral Moreira
Aramari,3,Aramari
Arambaré,3,Arambaré
Santa Rita do Sul,3,Santa Rita do Sul
Arame,3,Arame
Aramina,3,Aramina
Arandu,3,Arandu
Arantina,3,Arantina
Arapeí,3,Arapeí
Arapiraca,3,Arapiraca
Arapoema,3,Arapoema
Araponga,3,Araponga
Estêvão de Araújo,3,Estêvão de Araújo
Arapongas,3,Arapongas
Araporã,3,Araporã
Arapoti,3,Arapoti
Calógeras,3,Calógeras
Caratuva,3,Caratuva
Arapuá,3,Arapuá
Arapuã,3,Arapuã
Araputanga,3,Araputanga
Araquari,3,Araquari
Itapocu,3,Itapocu
Arara,3,Arara
Araranguá,3,Araranguá
Hercílio Luz,3,Hercílio Luz
Balneário Morro dos Conventos,3,Balneário Morro dos Conventos
Sanga da Toca,3,Sanga da Toca
Araraquara,3,Araraquara
Bueno de Andrada,3,Bueno de Andrada
Vila Xavier,3,Vila Xavier
Araras,3,Araras
Ararendá,3,Ararendá
Santo Antonio,3,Santo Antonio
Ramadinha,3,Ramadinha
Arari,3,Arari
Bonfim do Arari,3,Bonfim do Arari
Araricá,3,Araricá
Araripe,3,Araripe
Brejinho,3,Brejinho
Pajeú,3,Pajeú
Riacho Grande,3,Riacho Grande
Araripina,3,Araripina
Gergelim,3,Gergelim
Lagoa do Barro,3,Lagoa do Barro
Morais,3,Morais
Bom Jardim do Araripe,3,Bom Jardim do Araripe
Serrânia,3,Serrânia
Araruama,3,Araruama
Iguabinha,3,Iguabinha
Morro Grande,3,Morro Grande
Praia Seca,3,Praia Seca
São Vicente de Paula,3,São Vicente de Paula
Araruna,3,Araruna
São Vicente,3,São Vicente
Arataca,3,Arataca
Itatingui,3,Itatingui
Aratiba,3,Aratiba
Dourado,3,Dourado
Pio X,3,Pio X
Rio Azul,3,Rio Azul
Três Barras,3,Três Barras
Volta Fechada,3,Volta Fechada
Aratuba,3,Aratuba
Pai João,3,Pai João
Aratuípe,3,Aratuípe
Maragogipinho,3,Maragogipinho
Arauá,3,Arauá
Araucária,3,Araucária
Guajuvira,3,Guajuvira
Araújos,3,Araújos
Araxá,3,Araxá
Itaipu de Araxá,3,Itaipu de Araxá
Arceburgo,3,Arceburgo
Arco-Íris,3,Arco-Íris
Arcos,3,Arcos
Arcoverde,3,Arcoverde
Areado,3,Areado
Areal,3,Areal
Arealva,3,Arealva
Jacuba,3,Jacuba
Areia,3,Areia
Cepilho,3,Cepilho
Mata Limpa,3,Mata Limpa
Muquém,3,Muquém
Areia Branca,3,Areia Branca
Areia de Baraúnas,3,Areia de Baraúnas
Areial,3,Areial
Areias,3,Areias
Areiópolis,3,Areiópolis
Arenápolis,3,Arenápolis
Arenópolis,3,Arenópolis
Arês,3,Arês
Argirita,3,Argirita
Aricanduva,3,Aricanduva
Arinos,3,Arinos
Pic Sagarana,3,Pic Sagarana
Vila Bom Jesus,3,Vila Bom Jesus
Aripuanã,3,Aripuanã
Conselvan,3,Conselvan
Ariquemes,3,Ariquemes
Ariranha,3,Ariranha
Ariranha do Ivaí,3,Ariranha do Ivaí
Armação dos Búzios,3,Armação dos Búzios
Armazém,3,Armazém
Arneiroz,3,Arneiroz
Cachoeira de Fora,3,Cachoeira de Fora
Planalto,3,Planalto
Novo Horizonte,3,Novo Horizonte
Aroazes,3,Aroazes
Aroeiras,3,Aroeiras
Pedro Velho,3,Pedro Velho
Aroeiras do Itaim,3,Aroeiras do Itaim
Arraial,3,Arraial
Arraial do Cabo,3,Arraial do Cabo
Arraias,3,Arraias
Cana Brava,3,Cana Brava
